"MONTH","ROWCNT","PCNT","MED_Y_CNT","MED_N_CNT","MED_N_RATE"
"2020-10",361667,154683,200885,160757,44.45
"2020-11",395401,164764,219726,175666,44.43
"2020-12",407131,164104,226953,180165,44.25
"2021-01",379749,157538,208623,171110,45.06
"2021-02",351538,150305,197491,154016,43.81
"2021-03",413516,168370,232363,181143,43.81
"2021-04",408401,166119,228744,179649,43.99
"2021-05",371874,155695,206080,165788,44.58
"2021-06",419254,171416,234329,184914,44.11
"2021-07",421730,171860,233068,188650,44.73
"2021-08",420091,172448,232792,187294,44.58
"2021-09",391542,162995,217984,173227,44.24
